analysis_code,analysis_label,source_file,source_line
206,"Respiratory failure, not elsewhere classified",Analysis codes.do,207
207,Secondary hypertension,Analysis codes.do,208
208,Atherosclerosis,Analysis codes.do,209
209,Other disorders of brain (encaphalitis),Analysis codes.do,210
210,Extrapulmonary TB,Analysis codes.do,211
211,Miliary TB,Analysis codes.do,212
212,Encephalitis,Analysis codes.do,213
213,Indirect maternal,Analysis codes.do,214
214,Legal intervention and acts of war,Analysis codes.do,215
215,HIV Pseudonyms,Analysis codes.do,216
