icd10,nbdcode,nbd_label,rule_type,source_file,source_line
H07,80,Other sense organ disorders,static,NBD215grProgram.do,123
H08,80,Other sense organ disorders,static,NBD215grProgram.do,123
H09,80,Other sense organ disorders,static,NBD215grProgram.do,123
H10,80,Other sense organ disorders,static,NBD215grProgram.do,123
H11,80,Other sense organ disorders,static,NBD215grProgram.do,123
H12,80,Other sense organ disorders,static,NBD215grProgram.do,123
H13,80,Other sense organ disorders,static,NBD215grProgram.do,123
H14,80,Other sense organ disorders,static,NBD215grProgram.do,123
H15,80,Other sense organ disorders,static,NBD215grProgram.do,123
H16,80,Other sense organ disorders,static,NBD215grProgram.do,123
H17,80,Other sense organ disorders,static,NBD215grProgram.do,123
H18,80,Other sense organ disorders,static,NBD215grProgram.do,123
H19,80,Other sense organ disorders,static,NBD215grProgram.do,123
H20,80,Other sense organ disorders,static,NBD215grProgram.do,123
H21,80,Other sense organ disorders,static,NBD215grProgram.do,123
H25,77,Cataracts,static,NBD215grProgram.do,120
H26,77,Cataracts,static,NBD215grProgram.do,120
H27,80,Other sense organ disorders,static,NBD215grProgram.do,124
H30,79,Other vision loss,static,NBD215grProgram.do,122
H31,79,Other vision loss,static,NBD215grProgram.do,122
H32,79,Other vision loss,static,NBD215grProgram.do,122
H33,79,Other vision loss,static,NBD215grProgram.do,122
H34,79,Other vision loss,static,NBD215grProgram.do,122
H35,79,Other vision loss,static,NBD215grProgram.do,122
H40,76,Glaucoma,static,NBD215grProgram.do,119
H43,80,Other sense organ disorders,static,NBD215grProgram.do,123
H44,80,Other sense organ disorders,static,NBD215grProgram.do,123
H45,80,Other sense organ disorders,static,NBD215grProgram.do,123
H46,80,Other sense organ disorders,static,NBD215grProgram.do,123
H47,80,Other sense organ disorders,static,NBD215grProgram.do,123
H49,79,Other vision loss,static,NBD215grProgram.do,122
H50,79,Other vision loss,static,NBD215grProgram.do,122
H51,79,Other vision loss,static,NBD215grProgram.do,122
H52,79,Other vision loss,static,NBD215grProgram.do,122
H53,79,Other vision loss,static,NBD215grProgram.do,122
H54,79,Other vision loss,static,NBD215grProgram.do,122
H55,80,Other sense organ disorders,static,NBD215grProgram.do,123
H56,80,Other sense organ disorders,static,NBD215grProgram.do,123
H57,80,Other sense organ disorders,static,NBD215grProgram.do,123
H60,80,Other sense organ disorders,static,NBD215grProgram.do,124
H61,80,Other sense organ disorders,static,NBD215grProgram.do,124
H65,13,Otitis media,static,NBD215grProgram.do,39
H66,13,Otitis media,static,NBD215grProgram.do,39
H68,80,Other sense organ disorders,static,NBD215grProgram.do,124
H69,80,Other sense organ disorders,static,NBD215grProgram.do,124
H70,80,Other sense organ disorders,static,NBD215grProgram.do,124
H71,80,Other sense organ disorders,static,NBD215grProgram.do,124
