series_id,display_name,domain,hierarchy,cause_type,za_codes,denominator_za_codes,measure,unit,legacy_compare_names,legacy_rate_names,include_explorer,include_comparison,sort_order,notes
za_83,Rheumatic heart disease,natural,detailed,natural,83,,,,,,TRUE,FALSE,83,Direct ZA cause from the final NBD3 database.
za_84,Hypertensive heart disease,natural,detailed,natural,84,,,,,Hypertensive heart disease,TRUE,FALSE,84,Direct ZA cause from the final NBD3 database.
za_85,Ischaemic heart disease,natural,detailed,natural,85,,,,,Ischaemic heart disease,TRUE,FALSE,85,Direct ZA cause from the final NBD3 database.
za_86,"Pericarditis, endocarditis and myocarditis",natural,detailed,natural,86,,,,,,TRUE,FALSE,86,Direct ZA cause from the final NBD3 database.
za_87,Cardiomyopathy,natural,detailed,natural,87,,,,,,TRUE,FALSE,87,Direct ZA cause from the final NBD3 database.
za_88,Cerebrovascular disease,natural,detailed,natural,88,,,,,Cerebrovascular disease,TRUE,FALSE,88,Direct ZA cause from the final NBD3 database.
za_89,Conduction disorders and other dysrythmias,natural,detailed,natural,89,,,,,,TRUE,FALSE,89,Direct ZA cause from the final NBD3 database.
za_90,Aortic aneurism,natural,detailed,natural,90,,,,,,TRUE,FALSE,90,Direct ZA cause from the final NBD3 database.
za_91,Peripheral vascular disorders,natural,detailed,natural,91,,,,,,TRUE,FALSE,91,Direct ZA cause from the final NBD3 database.
za_92,Other circulatory diseases,natural,detailed,natural,92,,,,,,TRUE,FALSE,92,Direct ZA cause from the final NBD3 database.
za_93,COPD,natural,detailed,natural,93,,,,,,TRUE,FALSE,93,Direct ZA cause from the final NBD3 database.
za_94,Pneumoconiosis,natural,detailed,natural,94,,,,,,TRUE,FALSE,94,Direct ZA cause from the final NBD3 database.
za_95,Asthma,natural,detailed,natural,95,,,,,Asthma,TRUE,FALSE,95,Direct ZA cause from the final NBD3 database.
za_96,Other interstitial lung disease,natural,detailed,natural,96,,,,,,TRUE,FALSE,96,Direct ZA cause from the final NBD3 database.
za_97,Other respiratory,natural,detailed,natural,97,,,,,Other respiratory,TRUE,FALSE,97,Direct ZA cause from the final NBD3 database.
za_98,Peptic ulcer disease,natural,detailed,natural,98,,,,,,TRUE,FALSE,98,Direct ZA cause from the final NBD3 database.
za_99,Appendicitis,natural,detailed,natural,99,,,,,,TRUE,FALSE,99,Direct ZA cause from the final NBD3 database.
za_100,"Intestinal obstruction, strangulated hernia",natural,detailed,natural,100,,,,,,TRUE,FALSE,100,Direct ZA cause from the final NBD3 database.
za_101,Non-infective inflammatory bowel disease,natural,detailed,natural,101,,,,,,TRUE,FALSE,101,Direct ZA cause from the final NBD3 database.
za_102,Cirrhosis and liver disease,natural,detailed,natural,102,,,,,,TRUE,FALSE,102,Direct ZA cause from the final NBD3 database.
za_103,Gall bladder and bile duct disease,natural,detailed,natural,103,,,,,,TRUE,FALSE,103,Direct ZA cause from the final NBD3 database.
za_104,Pancreatitis,natural,detailed,natural,104,,,,,,TRUE,FALSE,104,Direct ZA cause from the final NBD3 database.
za_105,Other digestive diseases,natural,detailed,natural,105,,,,,,TRUE,FALSE,105,Direct ZA cause from the final NBD3 database.
za_106,Renal disease,natural,detailed,natural,106,,,,,,TRUE,FALSE,106,Direct ZA cause from the final NBD3 database.
za_107,Benign prostatic hypertrophy,natural,detailed,natural,107,,,,,,TRUE,FALSE,107,Direct ZA cause from the final NBD3 database.
za_108,Other urinary and gynaecological diseases,natural,detailed,natural,108,,,,,,TRUE,FALSE,108,Direct ZA cause from the final NBD3 database.
za_109,Skin diseases,natural,detailed,natural,109,,,,,,TRUE,FALSE,109,Direct ZA cause from the final NBD3 database.
za_110,Rheumatoid arthritis,natural,detailed,natural,110,,,,,,TRUE,FALSE,110,Direct ZA cause from the final NBD3 database.
za_111,Osteoarthritis,natural,detailed,natural,111,,,,,,TRUE,FALSE,111,Direct ZA cause from the final NBD3 database.
za_112,Back and neck pain,natural,detailed,natural,112,,,,,,TRUE,FALSE,112,Direct ZA cause from the final NBD3 database.
za_113,Other musculo-skeletal,natural,detailed,natural,113,,,,,,TRUE,FALSE,113,Direct ZA cause from the final NBD3 database.
za_114,Neural tube defects,natural,detailed,natural,114,,,,,,TRUE,FALSE,114,Direct ZA cause from the final NBD3 database.
za_115,Cleft lip/palate,natural,detailed,natural,115,,,,,,TRUE,FALSE,115,Direct ZA cause from the final NBD3 database.
za_116,Congenital heart anomalies,natural,detailed,natural,116,,,,,,TRUE,FALSE,116,Direct ZA cause from the final NBD3 database.
za_117,Congenital disorders of GIT,natural,detailed,natural,117,,,,,,TRUE,FALSE,117,Direct ZA cause from the final NBD3 database.
za_118,Urogenital malformations,natural,detailed,natural,118,,,,,,TRUE,FALSE,118,Direct ZA cause from the final NBD3 database.
za_119,Fetal alcohol syndrome,natural,detailed,natural,119,,,,,,TRUE,FALSE,119,Direct ZA cause from the final NBD3 database.
za_120,Down syndrome,natural,detailed,natural,120,,,,,,TRUE,FALSE,120,Direct ZA cause from the final NBD3 database.
za_121,Other chromosomal abnormalities,natural,detailed,natural,121,,,,,,TRUE,FALSE,121,Direct ZA cause from the final NBD3 database.
za_122,Other congenital abnormalities,natural,detailed,natural,122,,,,,,TRUE,FALSE,122,Direct ZA cause from the final NBD3 database.
za_123,Dental caries,natural,detailed,natural,123,,,,,,TRUE,FALSE,123,Direct ZA cause from the final NBD3 database.
za_124,Periodontal disease,natural,detailed,natural,124,,,,,,TRUE,FALSE,124,Direct ZA cause from the final NBD3 database.
za_125,Other oral diseases,natural,detailed,natural,125,,,,,,TRUE,FALSE,125,Direct ZA cause from the final NBD3 database.
za_126,Road injuries,injury,detailed,injury,126,,,,,Road injuries,TRUE,FALSE,126,Direct ZA cause from the final NBD3 database.
za_127,Other transport injuries,injury,detailed,injury,127,,,,,Other transport,TRUE,FALSE,127,Direct ZA cause from the final NBD3 database.
za_128,Poisonings (including herbal),injury,detailed,injury,128,,,,,Poisonings (incl herbal),TRUE,FALSE,128,Direct ZA cause from the final NBD3 database.
za_129,Falls,injury,detailed,injury,129,,,,,Falls,TRUE,FALSE,129,Direct ZA cause from the final NBD3 database.
za_130,"Fires, hot substances",injury,detailed,injury,130,,,,,"Fires, heat, hot substances",TRUE,FALSE,130,Direct ZA cause from the final NBD3 database.
za_131,Drowning,injury,detailed,injury,131,,,,,Drowning,TRUE,FALSE,131,Direct ZA cause from the final NBD3 database.
za_132,"Hanging, strangulation",injury,detailed,injury,132,,,,,"Hanging, strangulation",TRUE,FALSE,132,Direct ZA cause from the final NBD3 database.
